"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 12 22:46:50 BDT 2022","Wed Oct 12 22:46:55 BDT 2022","5574","Calculator Automation","Calculator automation","testrunner.EmiCalcTestRunner","testrunner.EmiCalcTestRunner","doCalculation","doCalculation",""
"passed","Wed Oct 12 22:46:55 BDT 2022","Wed Oct 12 22:47:00 BDT 2022","4302","Calculator Automation","Calculator automation","testrunner.EmiCalcTestRunner","testrunner.EmiCalcTestRunner","doCalculation","doCalculation",""
